,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
273,07/01/2000,60.29,60.35,61.8,59.25,0.0018,0.18%,0.9990057995028997
274,06/01/2000,60.18,62.72,62.72,59.48,-0.0425,-4.25%,0.9595025510204082
275,05/01/2000,62.85,62.27,65.64,62.14,0.011399999999999999,1.14%,1.0093142765376586
276,04/01/2000,62.14,60.02,62.91,57.06,0.0317,3.17%,1.0353215594801732
277,03/01/2000,60.23,63.88,64.43,59.37,-0.0602,-6.02%,0.942861615529117
278,02/01/2000,64.09,66.3,66.83,63.24,-0.0387,-3.87%,0.9666666666666668
279,01/01/2000,66.67,64.98,68.23,64.11,0.0361,3.61%,1.026008002462296
280,12/01/1999,64.35,62.24,64.4,60.63,0.0441,4.41%,1.0339010282776349
281,11/01/1999,61.63,60.36,62.11,58.67,0.026699999999999998,2.67%,1.021040424121935
282,10/01/1999,60.03,59.23,62.53,59.23,0.020099999999999996,2.01%,1.0135066689177783
283,09/01/1999,58.85,59.66,60.29,57.39,-0.015700000000000002,-1.57%,0.9864230640295005
284,08/01/1999,59.79,58.98,61.62,57.17,0.012199999999999999,1.22%,1.013733468972533
285,07/01/1999,59.07,58.23,59.39,56.29,0.0167,1.67%,1.0144255538382279
286,06/01/1999,58.1,56.49,60.6,56.24,0.0355,3.55%,1.0285006195786865
287,05/01/1999,56.11,53.63,56.91,53.37,0.048799999999999996,4.88%,1.046242774566474
288,04/01/1999,53.5,52.08,53.67,49.98,0.0222,2.22%,1.0272657450076805
289,03/01/1999,52.34,52.68,54.27,50.63,-0.0072,-0.72%,0.9935459377372817
290,02/01/1999,52.72,46.73,53.45,46.73,0.133,13.30%,1.1281831799700408
291,01/01/1999,46.53,46.38,49.44,46.1,0.0032,0.32%,1.0032341526520052
292,12/01/1998,46.38,46.78,48.78,44.98,-0.018600000000000002,-1.86%,0.9914493373236426
293,11/01/1998,47.26,46.26,49.66,46.07,0.026699999999999998,2.67%,1.0216169476869865
294,10/01/1998,46.03,43.26,48.39,41.01,0.0438,4.38%,1.0640314378178457
295,09/01/1998,44.1,50.2,51.08,44.02,-0.12359999999999999,-12.36%,0.8784860557768924
296,08/01/1998,50.32,54.74,54.74,50.17,-0.08410000000000001,-8.41%,0.9192546583850931
297,07/01/1998,54.94,54.5,55.49,53.69,0.011000000000000001,1.10%,1.0080733944954128
298,06/01/1998,54.34,55.26,56.24,53.66,-0.0202,-2.02%,0.9833514296055014
299,05/01/1998,55.46,56.42,57.69,55.26,-0.021400000000000002,-2.14%,0.9829847571783056
300,04/01/1998,56.67,56.41,58.25,54.04,0.0009,0.09%,1.0046091118595994
